GrainA, GrainB, SharedArea
1,120,11.313422469135801
1,121,15.838791456790121
1,13,20.36416044444444
1,177,2.26268449382716
1,179,6.78805348148148
1,190,74.66858829629629
1,196,52.04174335802468
1,55,97.2954332345679
1,56,13.57610696296296
1,58,2.26268449382716
10,145,4.52536898765432
10,152,70.14321930864196
10,166,58.829796839506166
10,187,6.78805348148148
10,188,70.14321930864196
10,197,6.78805348148148
100,125,31.677582913580242
100,132,74.66858829629629
100,142,95.03274874074073
100,143,133.49838513580247
100,150,63.355165827160484
100,161,58.829796839506166
100,163,45.253689876543206
100,176,13.57610696296296
100,192,153.8625455802469
100,27,56.56711234567901
100,41,85.9820107654321
100,43,31.677582913580242
100,92,33.940267407407404
101,111,81.45664177777776
101,160,2.26268449382716
101,163,45.253689876543206
101,182,99.55811772839505
101,184,24.88952943209876
101,185,203.64160444444443
101,191,99.55811772839505
101,193,45.253689876543206
101,71,92.77006424691356
101,75,22.626844938271603
101,84,54.30442785185184
101,98,88.24469525925925
102,134,2.26268449382716
102,14,36.20295190123456
102,156,167.43865254320986
102,160,131.23570064197528
102,172,110.87154019753085
102,174,11.313422469135801
102,184,88.24469525925925
102,186,264.73408577777775
102,190,13.57610696296296
102,193,11.313422469135801
102,38,58.829796839506166
103,116,144.81180760493825
103,128,65.61785032098764
103,141,9.05073797530864
103,144,2.26268449382716
103,148,56.56711234567901
103,153,95.03274874074073
103,158,38.46563639506172
103,198,135.76106962962962
103,20,4.52536898765432
103,31,95.03274874074073
103,57,113.13422469135801
103,63,65.61785032098764
103,66,83.71932627160493
103,76,22.626844938271603
103,83,13.57610696296296
103,91,9.05073797530864
103,94,31.677582913580242
103,96,90.50737975308641
104,113,20.36416044444444
104,137,117.65959367901233
104,164,65.61785032098764
104,165,85.9820107654321
104,167,117.65959367901233
104,170,126.71033165432097
104,171,113.13422469135801
104,173,6.78805348148148
104,176,31.677582913580242
104,196,9.05073797530864
104,3,74.66858829629629
104,33,56.56711234567901
104,50,22.626844938271603
104,72,4.52536898765432
104,77,36.20295190123456
104,8,49.77905886419752
105,116,18.10147595061728
105,137,115.39690918518517
105,144,176.4893905185185
105,15,81.45664177777776
105,159,171.9640215308642
105,173,72.40590380246913
105,181,4.52536898765432
105,195,104.08348671604936
105,196,38.46563639506172
105,65,117.65959367901233
105,76,29.414898419753083
106,110,156.12523007407404
106,119,4.52536898765432
106,129,67.88053481481481
106,133,6.78805348148148
106,170,269.25945476543205
106,185,101.82080222222221
106,190,9.05073797530864
106,194,92.77006424691356
106,199,31.677582913580242
106,24,49.77905886419752
106,79,99.55811772839505
106,80,4.52536898765432
106,90,81.45664177777776
106,98,6.78805348148148
107,112,108.60885570370368
107,113,165.1759680493827
107,123,54.30442785185184
107,124,65.61785032098764
107,131,27.15221392592592
107,133,72.40590380246913
107,136,108.60885570370368
107,147,101.82080222222221
107,149,11.313422469135801
107,177,119.92227817283948
107,195,18.10147595061728
107,29,47.516374370370364
107,50,18.10147595061728
107,55,90.50737975308641
107,56,22.626844938271603
107,68,6.78805348148148
108,121,92.77006424691356
108,135,101.82080222222221
108,141,72.40590380246913
108,148,70.14321930864196
108,153,144.81180760493825
108,156,151.59986108641974
108,176,11.313422469135801
108,194,181.01475950617282
108,42,81.45664177777776
108,46,38.46563639506172
108,99,22.626844938271603
109,12,70.14321930864196
109,126,36.20295190123456
109,158,165.1759680493827
109,166,72.40590380246913
109,181,42.99100538271605
109,188,76.93127279012344
109,189,90.50737975308641
109,191,81.45664177777776
109,198,135.76106962962962
109,32,47.516374370370364
109,61,54.30442785185184
109,81,20.36416044444444
109,82,4.52536898765432
109,85,6.78805348148148
109,91,58.829796839506166
11,117,79.19395728395061
11,139,38.46563639506172
11,143,13.57610696296296
11,179,22.626844938271603
11,196,6.78805348148148
11,22,24.88952943209876
11,58,65.61785032098764
11,79,6.78805348148148
110,119,88.24469525925925
110,129,85.9820107654321
110,152,65.61785032098764
110,157,194.5908664691358
110,170,20.36416044444444
110,174,11.313422469135801
110,194,106.34617120987653
110,199,190.06549748148146
110,67,42.99100538271605
110,74,11.313422469135801
110,80,67.88053481481481
110,98,4.52536898765432
111,115,6.78805348148148
111,122,113.13422469135801
111,125,65.61785032098764
111,128,13.57610696296296
111,163,104.08348671604936
111,173,85.9820107654321
111,188,9.05073797530864
111,191,140.28643861728392
111,193,233.0565028641975
111,53,67.88053481481481
111,64,15.838791456790121
111,84,2.26268449382716
112,113,6.78805348148148
112,124,2.26268449382716
112,133,4.52536898765432
112,136,33.940267407407404
112,137,101.82080222222221
112,144,29.414898419753083
112,147,149.33717659259258
112,168,126.71033165432097
112,181,31.677582913580242
112,195,138.02375412345677
112,47,63.355165827160484
112,50,72.40590380246913
113,133,133.49838513580247
113,137,6.78805348148148
113,149,156.12523007407404
113,167,171.9640215308642
113,170,99.55811772839505
113,175,9.05073797530864
113,177,4.52536898765432
113,190,140.28643861728392
113,195,42.99100538271605
113,29,45.253689876543206
113,50,97.2954332345679
113,55,18.10147595061728
114,140,4.52536898765432
114,174,185.54012849382713
114,183,147.0744920987654
114,184,203.64160444444443
114,186,104.08348671604936
114,188,58.829796839506166
114,197,6.78805348148148
114,70,99.55811772839505
114,71,65.61785032098764
114,84,70.14321930864196
115,122,74.66858829629629
115,128,147.0744920987654
115,134,88.24469525925925
115,135,22.626844938271603
115,171,117.65959367901233
115,186,124.44764716049382
115,187,147.0744920987654
115,188,65.61785032098764
115,191,2.26268449382716
115,193,181.01475950617282
115,28,4.52536898765432
115,48,6.78805348148148
115,66,20.36416044444444
116,128,122.18496266666665
116,144,85.9820107654321
116,173,42.99100538271605
116,193,113.13422469135801
116,31,13.57610696296296
116,64,106.34617120987653
116,66,31.677582913580242
116,76,6.78805348148148
116,83,54.30442785185184
116,94,6.78805348148148
117,127,9.05073797530864
117,139,90.50737975308641
117,143,122.18496266666665
117,150,149.33717659259258
117,173,79.19395728395061
117,179,138.02375412345677
117,196,147.0744920987654
117,22,15.838791456790121
117,65,18.10147595061728
117,73,115.39690918518517
117,77,18.10147595061728
118,154,124.44764716049382
118,155,36.20295190123456
118,169,140.28643861728392
118,174,85.9820107654321
118,177,11.313422469135801
118,183,38.46563639506172
118,189,38.46563639506172
118,19,67.88053481481481
118,197,208.16697343209873
118,40,106.34617120987653
118,60,22.626844938271603
118,67,15.838791456790121
118,7,4.52536898765432
118,70,108.60885570370368
118,74,138.02375412345677
118,86,106.34617120987653
119,123,45.253689876543206
119,124,52.04174335802468
119,157,128.97301614814813
119,162,6.78805348148148
119,182,187.8028129876543
119,185,38.46563639506172
119,199,131.23570064197528
119,36,9.05073797530864
119,75,83.71932627160493
119,80,81.45664177777776
119,98,133.49838513580247
12,126,45.253689876543206
12,166,4.52536898765432
12,188,24.88952943209876
12,197,52.04174335802468
12,6,31.677582913580242
12,61,2.26268449382716
12,81,40.72832088888888
120,121,167.43865254320986
120,132,2.26268449382716
120,154,151.59986108641974
120,177,31.677582913580242
120,178,97.2954332345679
120,190,22.626844938271603
120,196,196.85355096296294
120,198,70.14321930864196
120,55,6.78805348148148
120,62,133.49838513580247
120,69,76.93127279012344
120,72,45.253689876543206
120,86,101.82080222222221
120,87,85.9820107654321
120,93,88.24469525925925
121,148,52.04174335802468
121,153,144.81180760493825
121,190,104.08348671604936
121,194,2.26268449382716
121,196,156.12523007407404
121,198,9.05073797530864
121,42,29.414898419753083
121,46,133.49838513580247
121,58,29.414898419753083
121,63,15.838791456790121
121,69,81.45664177777776
121,72,42.99100538271605
121,99,108.60885570370368
122,125,99.55811772839505
122,128,106.34617120987653
122,141,31.677582913580242
122,187,61.092481333333325
122,189,29.414898419753083
122,191,176.4893905185185
122,193,4.52536898765432
122,28,104.08348671604936
122,32,52.04174335802468
122,64,20.36416044444444
122,78,144.81180760493825
122,82,6.78805348148148
122,85,72.40590380246913
123,124,72.40590380246913
123,131,156.12523007407404
123,147,65.61785032098764
123,157,27.15221392592592
123,177,151.59986108641974
123,178,45.253689876543206
123,182,29.414898419753083
123,199,133.49838513580247
123,23,27.15221392592592
123,36,67.88053481481481
123,44,45.253689876543206
123,45,54.30442785185184
